Accession,Coreceptor
A04321,CXCR4
AB014775,CCR5
AB014776,CCR5
AB014777,CCR5
AB014778,CCR5
AB014779,CCR5
AB014780,CCR5
AB014781,CCR5
AB014782,CCR5
AB014783,CCR5
AB014784,CCR5
AB014785,CXCR4
AB014786,CXCR4
AB014787,CCR5
AB014788,CCR5
AB014789,CCR5
AB014790,CCR5
AB014791,CXCR4
AB014792,CCR5
AB014793,CXCR4
AB014794,CCR5
AB014796,CXCR4
AB014797,CCR5
AB014799,CXCR4
AB014801,CXCR4
AB014803,CCR5
AB014805,CXCR4
AB014806,CXCR4
AB014807,CCR5
AB014809,CCR5
AB014810,CXCR4
AB014811,CXCR4
AB014812,CXCR4
AB014834,CCR5
AB014835,CCR5
AB014836,CCR5
AB014840,CCR5
AB014841,CCR5
AB014845,CCR5
AB014849,CCR5
AB014853,CCR5
AB014855,CCR5
AB014856,CCR5
AB014857,CCR5
AB014858,CCR5
AB014859,CCR5
AB014860,CCR5
AB014861,CCR5
AB014862,CCR5
AB014863,CCR5
AB014864,CCR5
AB014867,CCR5
AB014869,CCR5
AB014870,CCR5
AB014871,CCR5
AB014872,CCR5
AB014873,CCR5
AB023804,CCR5
AB049811,CCR5
AB287376,CCR5
AB287377,CCR5
AB553911,CCR5
AB553912,CCR5
AB553913,CCR5
AB553914,CCR5
AF005495,CCR5
AF021477,CCR5
AF021494,CCR5
AF021499,CCR5
AF021500,CCR5
AF021502,CCR5
AF021503,CCR5
AF021505,CCR5
AF021510,CCR5
AF021514,CCR5
AF021518,CCR5
AF021523,CCR5
AF021524,CCR5
AF021532,CCR5
AF021533,CCR5
AF021536,CCR5
AF021614,CXCR4
AF021617,CXCR4
AF021618,CXCR4
AF021622,CXCR4
AF021627,CXCR4
AF021628,CXCR4
AF021629,CXCR4
AF021630,CXCR4
AF021639,CXCR4
AF021647,CXCR4
AF021650,CXCR4
AF021651,CXCR4
AF021668,CXCR4
AF021669,CXCR4
AF021670,CXCR4
AF022257,CCR5
AF022258,CCR5
AF022259,CCR5
AF022260,CCR5
AF022261,CCR5
AF022262,CCR5
AF022263,CCR5
AF022264,CCR5
AF022265,CCR5
AF022266,CCR5
AF022274,CCR5
AF022277,CCR5
AF022281,CCR5
AF022293,CCR5
AF022294,CCR5
AF033819,CXCR4
AF034375,CXCR4
AF034376,CXCR4
AF034377,CXCR4
AF034378,CXCR4
AF034379,CXCR4
